xpos,ypos,group,grouplabela,grouplabelb,region,textanchor
47.3,36.5,Lincolnshire,Lincs,,East Midlands,start
34,15.2,Oxfordshire,Oxon,,South East,end
44.2,23.3,Bedfordshire,Beds,,East of England,start
22.2,3.8,Devon,Devon,,South West,start
28.2,4.2,Dorset,Dorset,,South West,start
35.2,52.3,County Durham,County Durham,,North East,start
34.8,16.2,Buckinghamshire,Bucks,,South East,start
29.2,20.3,Worcestershire,Worcs,,West Midlands,start
31.8,21.2,Warwickshire,Warks,,West Midlands,start
19,57.2,Dumfries & Galloway,S. W. Scotland,,Scotland,start
44.9,3.2,West Sussex,West Sussex,,South East,end
27.3,46.5,Lancashire,Lancashire,,North West,start
30.2,74.3,North East Scotland,N.E. Scotland,,Scotland,start
38.2,50.4,Teesside,Teesside,,North East,start
38.7,9.5,Hampshire,Hampshire,,South East,end
54.85,24.2,Suffolk,Suffolk,,East of England,end
23.6,35.3,Cheshire,Cheshire,,North West,end
32.6,9.1,Wiltshire,Wiltshire,,South West,end
45.9,28.4,Cambridgeshire,Cambs,,East of England,start
22.9,62.1,Central Scotland,Lanarks &,Falkirk,Scotland,start
40,28.4,Northamptonshire,Northants,,East Midlands,start
24.1,29.4,West Midlands,West Mids,,West Midlands,start
26,16.2,Gloucestershire,Gloucs,,South West,start
22.6,9.3,Somerset,Somerset,,South West,end
46,4.2,East Sussex,East Sussex,,South East,start
20.6,40.5,Merseyside,Merseyside,,North West,end
36.2,35.4,Derbyshire,Derbs,,East Midlands,start
40.6,21.4,Hertfordshire,Herts,,East of England,end
33.2,57.5,Tyne and Wear,Tyne & Wear,,North East,start
52.2,31.4,Norfolk,Norfolk,,East of England,start
34,45.4,West Yorkshire,West Yorks.,,Yorkshire and The Humber,start
28.6,42.4,Greater Manchester,Grtr Manc.,,North West,start
12.1,4.4,Cornwall,Cornwall,,South West,start
40.3,38.2,South Yorkshire,South,Yorks.,Yorkshire and The Humber,start
31.2,61.4,Northumberland,Northumb.,,North East,start
22.9,25.15,Shropshire,Shropshire,,West Midlands,end
30.2,66.2,Lothian & Borders,Lothian &,Borders,Scotland,start
49.2,13.2,London,London,,London,start
27.6,32.4,Staffordshire,Staffs,,West Midlands,end
22.6,21.3,Herefordshire,Heref.,,West Midlands,end
33.95,11.15,Berkshire,Berkshire,,South East,start
12.85,22.4,West Wales,West Wales,,Wales,end
18.6,15.2,South Wales,South Wales,,Wales,end
17.5,67.4,Glasgow & Clyde,Glasgow &,Clyde,Scotland,end
34.6,28.8,Leicestershire,Leics &,Rut.,East Midlands,end
20.6,74.2,Highlands & Islands,Highlands &,Islands,Scotland,end
8,50.1,Belfast,Northern Ireland,,Northern Ireland,start
24.6,13.2,Avon,Bristol &,S. Gloucs,South West,end
42.2,46.2,North Yorkshire,North Yorks.,,Yorkshire and The Humber,start
43.2,9.4,Surrey,Surrey,,South East,start
23.6,51.3,Cumbria,Cumbria,,North West,end
54,7.2,Kent,Kent,,South East,start
22.6,70.2,Mid Scotland & Fife,Fife &,Mid Scotland,Scotland,end
42.2,32.2,Nottinghamshire,Notts,,East Midlands,start
54.2,20.3,Essex,Essex,,East of England,start
19.6,31.2,North Wales,North Wales,,Wales,end
46.3,42.2,Humberside,East Yorks.,& Humber,Yorkshire and The Humber,start
15.6,25.4,Mid Wales,Mid Wales,,Wales,end